k,new_prime,primorial,residue,reflection_residue,reflection_pair_min,reflection_pair_max,parent_residue_mod_previous,previous_uncovered_interval_count,previous_prefix_uncovered_measure,previous_uncovered_intervals,new_prime_remainder,new_prime_arc_intervals,uses_endpoint_touching
5,11,2310,118,2192,118,2192,118,1,0.05,7/10-3/4,8,15/22-17/22,False
5,11,2310,448,1862,448,1862,28,1,0.05,7/10-3/4,8,15/22-17/22,False
5,11,2310,542,1768,542,1768,122,1,0.05,1/4-3/10,3,5/22-7/22,False
5,11,2310,778,1532,778,1532,148,1,0.05,7/10-3/4,8,15/22-17/22,False
5,11,2310,849,1461,849,1461,9,1,0.047619047619047616,1/6-3/14,2,3/22-5/22,False
5,11,2310,872,1438,872,1438,32,1,0.05,1/4-3/10,3,5/22-7/22,False
5,11,2310,1108,1202,1108,1202,58,1,0.05,7/10-3/4,8,15/22-17/22,False
5,11,2310,1202,1108,1108,1202,152,1,0.05,1/4-3/10,3,5/22-7/22,False
5,11,2310,1438,872,872,1438,178,1,0.05,7/10-3/4,8,15/22-17/22,False
5,11,2310,1461,849,849,1461,201,1,0.047619047619047616,11/14-5/6,9,17/22-19/22,False
5,11,2310,1532,778,778,1532,62,1,0.05,1/4-3/10,3,5/22-7/22,False
5,11,2310,1768,542,542,1768,88,1,0.05,7/10-3/4,8,15/22-17/22,False
5,11,2310,1862,448,448,1862,182,1,0.05,1/4-3/10,3,5/22-7/22,False
5,11,2310,2192,118,118,2192,92,1,0.05,1/4-3/10,3,5/22-7/22,False
