k,new_prime,primorial,residue,previous_prefix_uncovered_measure
4,7,210,2,0.05
4,7,210,208,0.05
5,11,2310,118,0.05
5,11,2310,448,0.05
5,11,2310,542,0.05
5,11,2310,778,0.05
5,11,2310,849,0.047619047619047616
5,11,2310,872,0.05
5,11,2310,1108,0.05
5,11,2310,1202,0.05
5,11,2310,1438,0.05
5,11,2310,1461,0.047619047619047616
5,11,2310,1532,0.05
5,11,2310,1768,0.05
5,11,2310,1862,0.05
5,11,2310,2192,0.05
6,13,30030,939,0.03571428571428571
6,13,30030,1791,0.022727272727272728
6,13,30030,2140,0.05194805194805195
6,13,30030,2499,0.022727272727272728
6,13,30030,3669,0.03571428571428571
6,13,30030,3866,0.05194805194805195
6,13,30030,4521,0.03571428571428571
6,13,30030,6296,0.01818181818181818
6,13,30030,6399,0.03571428571428571
6,13,30030,6789,0.022727272727272728
6,13,30030,7251,0.03571428571428571
6,13,30030,8146,0.05194805194805195
6,13,30030,9129,0.03571428571428571
6,13,30030,9981,0.03571428571428571
6,13,30030,10371,0.022727272727272728
6,13,30030,11079,0.022727272727272728
6,13,30030,11859,0.03571428571428571
6,13,30030,12711,0.03571428571428571
6,13,30030,14152,0.05194805194805195
6,13,30030,14589,0.012987012987012988
6,13,30030,14661,0.022727272727272728
6,13,30030,15369,0.022727272727272728
6,13,30030,15441,0.012987012987012988
6,13,30030,15878,0.05194805194805195
6,13,30030,17319,0.03571428571428571
6,13,30030,18171,0.03571428571428571
6,13,30030,18951,0.022727272727272728
6,13,30030,19659,0.022727272727272728
6,13,30030,20049,0.03571428571428571
6,13,30030,20901,0.03571428571428571
6,13,30030,21884,0.05194805194805195
6,13,30030,22779,0.03571428571428571
6,13,30030,23241,0.022727272727272728
6,13,30030,23631,0.03571428571428571
6,13,30030,23734,0.01818181818181818
6,13,30030,25509,0.03571428571428571
6,13,30030,26164,0.05194805194805195
6,13,30030,26361,0.03571428571428571
6,13,30030,27531,0.022727272727272728
6,13,30030,27890,0.05194805194805195
6,13,30030,28239,0.022727272727272728
6,13,30030,29091,0.03571428571428571
7,17,510510,1245,0.022727272727272728
7,17,510510,1329,0.02564102564102564
7,17,510510,2121,0.022727272727272728
7,17,510510,2631,0.03571428571428571
7,17,510510,3208,0.03076923076923077
7,17,510510,3422,0.03076923076923077
7,17,510510,3489,0.022727272727272728
7,17,510510,4509,0.03571428571428571
7,17,510510,5223,0.03571428571428571
7,17,510510,5301,0.02564102564102564
7,17,510510,6201,0.012987012987012988
7,17,510510,7731,0.022727272727272728
7,17,510510,7959,0.02564102564102564
7,17,510510,8079,0.03571428571428571
7,17,510510,9099,0.022727272727272728
7,17,510510,9771,0.03571428571428571
7,17,510510,9838,0.03076923076923077
7,17,510510,10052,0.03076923076923077
7,17,510510,11378,0.04895104895104895
7,17,510510,11649,0.03571428571428571
7,17,510510,11931,0.02564102564102564
7,17,510510,12184,0.01818181818181818
7,17,510510,12434,0.013986013986013986
7,17,510510,13341,0.022727272727272728
7,17,510510,15219,0.03571428571428571
7,17,510510,16468,0.03076923076923077
7,17,510510,16682,0.03076923076923077
7,17,510510,16911,0.03571428571428571
7,17,510510,18561,0.02564102564102564
7,17,510510,18789,0.03571428571428571
7,17,510510,20319,0.022727272727272728
7,17,510510,20481,0.03571428571428571
7,17,510510,21219,0.02564102564102564
7,17,510510,22359,0.03571428571428571
7,17,510510,24051,0.03571428571428571
7,17,510510,25191,0.02564102564102564
7,17,510510,25929,0.022727272727272728
7,17,510510,27086,0.01818181818181818
7,17,510510,27621,0.03571428571428571
7,17,510510,27849,0.02564102564102564
7,17,510510,29499,0.03571428571428571
7,17,510510,29728,0.03076923076923077
7,17,510510,29942,0.03076923076923077
7,17,510510,30171,0.022727272727272728
7,17,510510,31191,0.03571428571428571
7,17,510510,31539,0.022727272727272728
7,17,510510,33069,0.012987012987012988
7,17,510510,34479,0.02564102564102564
7,17,510510,34761,0.03571428571428571
7,17,510510,35781,0.022727272727272728
7,17,510510,36358,0.03076923076923077
7,17,510510,36572,0.03076923076923077
7,17,510510,36639,0.03571428571428571
7,17,510510,37149,0.022727272727272728
7,17,510510,38331,0.03571428571428571
7,17,510510,38451,0.02564102564102564
7,17,510510,40114,0.01098901098901099
7,17,510510,40209,0.03571428571428571
7,17,510510,41391,0.022727272727272728
7,17,510510,41901,0.03571428571428571
7,17,510510,42759,0.022727272727272728
7,17,510510,42988,0.03076923076923077
7,17,510510,43202,0.03076923076923077
7,17,510510,43779,0.03571428571428571
7,17,510510,45081,0.02564102564102564
7,17,510510,47001,0.022727272727272728
7,17,510510,47739,0.02564102564102564
7,17,510510,47839,0.025974025974025976
7,17,510510,48369,0.022727272727272728
7,17,510510,49041,0.03571428571428571
7,17,510510,49832,0.03076923076923077
7,17,510510,50919,0.03571428571428571
7,17,510510,51454,0.01818181818181818
7,17,510510,51711,0.02564102564102564
7,17,510510,52611,0.022727272727272728
7,17,510510,52706,0.01098901098901099
7,17,510510,54369,0.02564102564102564
7,17,510510,54489,0.03571428571428571
7,17,510510,56181,0.03571428571428571
7,17,510510,56248,0.03076923076923077
7,17,510510,56462,0.03076923076923077
7,17,510510,58059,0.03571428571428571
7,17,510510,58221,0.022727272727272728
7,17,510510,58341,0.02564102564102564
7,17,510510,59589,0.022727272727272728
7,17,510510,59673,0.02564102564102564
7,17,510510,59751,0.03571428571428571
7,17,510510,61629,0.03571428571428571
7,17,510510,61988,0.01098901098901099
7,17,510510,62878,0.03076923076923077
7,17,510510,63092,0.03076923076923077
7,17,510510,63321,0.03571428571428571
7,17,510510,64971,0.02564102564102564
7,17,510510,65199,0.022727272727272728
7,17,510510,66891,0.03571428571428571
7,17,510510,67629,0.02564102564102564
7,17,510510,68769,0.03571428571428571
7,17,510510,69441,0.022727272727272728
7,17,510510,70461,0.03571428571428571
7,17,510510,70809,0.022727272727272728
7,17,510510,71601,0.02564102564102564
7,17,510510,72339,0.012987012987012988
7,17,510510,74031,0.03571428571428571
7,17,510510,74259,0.02564102564102564
7,17,510510,75051,0.022727272727272728
7,17,510510,75909,0.03571428571428571
7,17,510510,76138,0.03076923076923077
7,17,510510,76352,0.03076923076923077
7,17,510510,76419,0.022727272727272728
7,17,510510,77601,0.03571428571428571
7,17,510510,79479,0.03571428571428571
7,17,510510,80661,0.022727272727272728
7,17,510510,80889,0.02564102564102564
7,17,510510,81171,0.03571428571428571
7,17,510510,82029,0.022727272727272728
7,17,510510,82768,0.03076923076923077
7,17,510510,82982,0.03076923076923077
7,17,510510,83049,0.03571428571428571
7,17,510510,84741,0.012987012987012988
7,17,510510,84861,0.02564102564102564
7,17,510510,86271,0.022727272727272728
7,17,510510,86524,0.01098901098901099
7,17,510510,86619,0.03571428571428571
7,17,510510,87519,0.02564102564102564
7,17,510510,87639,0.022727272727272728
7,17,510510,88311,0.03571428571428571
7,17,510510,89398,0.03076923076923077
7,17,510510,89612,0.03076923076923077
7,17,510510,90189,0.03571428571428571
7,17,510510,90724,0.01818181818181818
7,17,510510,91491,0.02564102564102564
7,17,510510,94149,0.02564102564102564
7,17,510510,95451,0.03571428571428571
7,17,510510,96028,0.03076923076923077
7,17,510510,97329,0.03571428571428571
7,17,510510,97491,0.022727272727272728
7,17,510510,98121,0.02564102564102564
7,17,510510,98859,0.022727272727272728
7,17,510510,99021,0.03571428571428571
7,17,510510,99116,0.01098901098901099
7,17,510510,100779,0.02564102564102564
7,17,510510,100857,0.022727272727272728
7,17,510510,100899,0.03571428571428571
7,17,510510,102591,0.03571428571428571
7,17,510510,102658,0.03076923076923077
7,17,510510,102872,0.03076923076923077
7,17,510510,103347,0.022727272727272728
7,17,510510,104469,0.022727272727272728
7,17,510510,105626,0.01818181818181818
7,17,510510,106161,0.03571428571428571
7,17,510510,107325,0.03571428571428571
7,17,510510,108039,0.03571428571428571
7,17,510510,108711,0.022727272727272728
7,17,510510,109288,0.03076923076923077
7,17,510510,109502,0.03076923076923077
7,17,510510,109731,0.03571428571428571
7,17,510510,110079,0.022727272727272728
7,17,510510,111381,0.02564102564102564
7,17,510510,111609,0.012987012987012988
7,17,510510,113301,0.03571428571428571
7,17,510510,113480,0.04895104895104895
7,17,510510,114321,0.022727272727272728
7,17,510510,114536,0.013986013986013986
7,17,510510,115179,0.03571428571428571
7,17,510510,115689,0.022727272727272728
7,17,510510,116871,0.03571428571428571
7,17,510510,118011,0.02564102564102564
7,17,510510,118749,0.03571428571428571
7,17,510510,119931,0.022727272727272728
7,17,510510,120441,0.03571428571428571
7,17,510510,120669,0.02564102564102564
7,17,510510,121299,0.022727272727272728
7,17,510510,122319,0.03571428571428571
7,17,510510,122762,0.03076923076923077
7,17,510510,124011,0.012987012987012988
7,17,510510,125541,0.022727272727272728
7,17,510510,125889,0.03571428571428571
7,17,510510,127299,0.02564102564102564
7,17,510510,127345,0.03636363636363636
7,17,510510,127581,0.03571428571428571
7,17,510510,129178,0.03076923076923077
7,17,510510,129392,0.03076923076923077
7,17,510510,129459,0.03571428571428571
7,17,510510,129994,0.01818181818181818
7,17,510510,131151,0.022727272727272728
7,17,510510,131271,0.02564102564102564
7,17,510510,132934,0.01098901098901099
7,17,510510,133029,0.03571428571428571
7,17,510510,133929,0.02564102564102564
7,17,510510,134721,0.03571428571428571
7,17,510510,135808,0.03076923076923077
7,17,510510,136022,0.03076923076923077
7,17,510510,136599,0.03571428571428571
7,17,510510,136761,0.022727272727272728
7,17,510510,137901,0.02564102564102564
7,17,510510,138129,0.022727272727272728
7,17,510510,140559,0.02564102564102564
7,17,510510,140645,0.03571428571428571
7,17,510510,141861,0.03571428571428571
7,17,510510,142216,0.01098901098901099
8,19,9699690,290,0.019230769230769232
8,19,9699690,1772,0.004524886877828055
8,19,9699690,2912,0.014705882352941176
8,19,9699690,3891,0.012987012987012988
8,19,9699690,5638,0.019230769230769232
8,19,9699690,6130,0.025210084033613446
8,19,9699690,6778,0.014705882352941176
8,19,9699690,6939,0.008403361344537815
8,19,9699690,9182,0.019230769230769232
8,19,9699690,9874,0.01818181818181818
8,19,9699690,13048,0.019230769230769232
8,19,9699690,13075,0.0196078431372549
8,19,9699690,14864,0.0053475935828877
8,19,9699690,19696,0.025210084033613446
8,19,9699690,20458,0.019230769230769232
8,19,9699690,21581,0.030303030303030304
8,19,9699690,22292,0.014705882352941176
8,19,9699690,22835,0.030303030303030304
8,19,9699690,24002,0.019230769230769232
8,19,9699690,25834,0.023529411764705882
8,19,9699690,26158,0.014705882352941176
8,19,9699690,27868,0.019230769230769232
8,19,9699690,29239,0.011764705882352941
8,19,9699690,30832,0.019230769230769232
8,19,9699690,31412,0.019230769230769232
8,19,9699690,31982,0.014705882352941176
8,19,9699690,34016,0.01818181818181818
8,19,9699690,35241,0.03496503496503497
8,19,9699690,35848,0.014705882352941176
8,19,9699690,38768,0.03208556149732621
8,19,9699690,38859,0.02197802197802198
8,19,9699690,39999,0.012987012987012988
8,19,9699690,41511,0.0213903743315508
8,19,9699690,41672,0.014705882352941176
8,19,9699690,41996,0.023529411764705882
8,19,9699690,43600,0.014705882352941176
8,19,9699690,45538,0.014705882352941176
8,19,9699690,45574,0.01098901098901099
8,19,9699690,46232,0.019230769230769232
8,19,9699690,46269,0.03496503496503497
8,19,9699690,47781,0.012987012987012988
8,19,9699690,50061,0.013574660633484163
8,19,9699690,50098,0.019230769230769232
8,19,9699690,53642,0.019230769230769232
8,19,9699690,57508,0.019230769230769232
8,19,9699690,58166,0.01098901098901099
8,19,9699690,60891,0.008403361344537815
8,19,9699690,61052,0.014705882352941176
